자치구별,연도,펫샵_구매비중,그외_구매비중
종로구,2024,40.69999999999999,59.30000000000001
중구,2024,27.227227227227228,72.77277277277277
용산구,2024,45.04504504504504,54.95495495495496
성동구,2024,29.429429429429433,70.57057057057057
광진구,2024,31.368631368631366,68.63136863136863
동대문구,2024,40.9,59.1
중랑구,2024,28.171828171828167,71.82817182817183
성북구,2024,21.878121878121874,78.12187812187813
강북구,2024,29.72972972972973,70.27027027027027
도봉구,2024,26.6,73.4
노원구,2024,28.371628371628372,71.62837162837162
은평구,2024,46.24624624624625,53.75375375375375
서대문구,2024,31.399999999999995,68.60000000000001
마포구,2024,34.734734734734744,65.26526526526526
양천구,2024,41.199999999999996,58.800000000000004
강서구,2024,15.0,85.0
구로구,2024,25.7,74.3
금천구,2024,23.4,76.6
영등포구,2024,28.72872872872872,71.27127127127127
동작구,2024,34.1,65.9
관악구,2024,23.2,76.8
서초구,2024,38.06193806193806,61.93806193806194
강남구,2024,19.299999999999997,80.7
송파구,2024,22.500000000000004,77.5
강동구,2024,21.978021978021975,78.02197802197803
