상태,공고번호,등록번호
종료(반환),서울-강동-2024-00216,
종료(반환),서울-마포-2024-00286,410097800056635
종료(반환),서울-노원-2024-00183,
종료(반환),서울-강남-2024-00072,410160010931615
종료(반환),서울-은평-2024-00324,
종료(반환),서울-양천-2024-00151,
종료(반환),서울-양천-2024-00150,410093300036524
종료(반환),서울-은평-2024-00323,
종료(반환),서울-은평-2024-00322,
종료(반환),서울-광진-2024-00122,410097800576252
종료(반환),서울-금천-2024-00158,410097800040501
종료(반환),서울-강동-2024-00215,
종료(반환),서울-양천-2024-00149,410100008267959
종료(반환),서울-도봉-2024-00135,
종료(반환),서울-용산-2024-00253,410097800408805
종료(반환),서울-용산-2024-00252,410097800266335
종료(반환),서울-동작-2024-00180,410100013072563
종료(반환),서울-강동-2024-00213,
종료(반환),서울-마포-2024-00285,
종료(반환),서울-동대문-2024-00308,
종료(반환),서울-동대문-2024-00307,
종료(반환),서울-중랑-2024-00173,
종료(반환),서울-노원-2024-00182,
종료(반환),서울-관악-2024-00251,
종료(반환),서울-강동-2024-00209,410160020121588
종료(반환),서울-종로-2024-00207,
종료(반환),서울-관악-2024-00250,410160010935316
종료(반환),서울-중랑-2024-00171,410160010954519
종료(반환),서울-서대문-2024-00122,
종료(반환),서울-영등포-2024-00101,
종료(반환),서울-강북-2024-00247,410097800104804
종료(반환),서울-성동-2024-00117,410097800428753
종료(반환),서울-관악-2024-00241,
종료(반환),서울-관악-2024-00240,
종료(반환),서울-관악-2024-00238,410160010770182
종료(반환),서울-구로-2024-00202,410100012886194
종료(반환),서울-강서-2024-00227,
종료(반환),서울-강서-2024-00226,
종료(반환),서울-은평-2024-00315,
종료(반환),서울-도봉-2024-00133,
종료(반환),서울-관악-2024-00239,
종료(반환),서울-은평-2024-00314,410100004145581
종료(반환),서울-용산-2024-00249,410093300035036
종료(반환),서울-동대문-2024-00300,410100008112418
종료(반환),서울-광진-2024-00117,
종료(반환),서울-영등포-2024-00099,410097800466163
종료(반환),서울-금천-2024-00157,410100012477772
종료(반환),서울-영등포-2024-00098,410097800181570
종료(반환),서울-구로-2024-00198,
종료(반환),서울-강서-2024-00223,
종료(반환),서울-서초-2024-00121,410160010476813
종료(반환),서울-금천-2024-00156,
종료(반환),서울-강남-2024-00070,410160010422936
종료(반환),서울-구로-2024-00195,410100012866736
종료(반환),서울-용산-2024-00247,410097800459149
종료(반환),서울-강동-2024-00200,
종료(반환),서울-송파-2024-00181,
종료(반환),서울-관악-2024-00237,410160010966205
종료(반환),서울-강서-2024-00222,
종료(반환),서울-구로-2024-00193,410100012906630
종료(반환),서울-성북-2024-00219,410160010365180
종료(반환),서울-금천-2024-00154,410093300025319
종료(반환),서울-금천-2024-00153,410097800257162
종료(반환),서울-중랑-2024-00166,
종료(반환),서울-중구-2024-00067,
종료(반환),서울-마포-2024-00278,410160010779163
종료(반환),서울-중랑-2024-00164,
종료(반환),서울-성북-2024-00218,
종료(반환),서울-성북-2024-00217,
종료(반환),서울-강동-2024-00196,410160010947373
종료(반환),서울-관악-2024-00234,
종료(반환),서울-은평-2024-00302,
종료(반환),서울-구로-2024-00191,410160010764972
종료(반환),서울-마포-2024-00272,
종료(반환),서울-강북-2024-00229,410160010967525
종료(반환),서울-용산-2024-00244,410097800480552
종료(반환),서울-중구-2024-00065,
종료(반환),서울-서대문-2024-00114,
종료(반환),서울-서대문-2024-00113,
종료(반환),서울-강동-2024-00199,
종료(반환),서울-구로-2024-00189,410160010428125
종료(반환),서울-양천-2024-00145,410097700040398
종료(반환),서울-영등포-2024-00095,410097800466174
종료(반환),서울-노원-2024-00164,
종료(반환),서울-용산-2024-00239,
종료(반환),서울-관악-2024-00227,410097800466163
종료(반환),서울-양천-2024-00143,
종료(반환),서울-서초-2024-00117,
종료(반환),서울-강북-2024-00224,
종료(반환),서울-용산-2024-00238,410160010482550
종료(반환),서울-중랑-2024-00161,
종료(반환),서울-송파-2024-00178,410097800486183
종료(반환),서울-노원-2024-00163,
종료(반환),서울-성북-2024-00213,410160011878933
종료(반환),서울-구로-2024-00184,
종료(반환),서울-강동-2024-00190,410160010329684
종료(반환),서울-강동-2024-00189,410100013032360
종료(반환),서울-동작-2024-00165,
종료(반환),서울-성북-2024-00211,
종료(반환),서울-광진-2024-00110,
종료(반환),서울-강북-2024-00223,
종료(반환),서울-서대문-2024-00112,
종료(반환),서울-영등포-2024-00092,
종료(반환),서울-노원-2024-00161,
종료(반환),서울-동대문-2024-00274,410097800298472
종료(반환),서울-노원-2024-00160,410160010780467
종료(반환),서울-중구-2024-00061,
종료(반환),서울-송파-2024-00172,410100012457576
종료(반환),서울-구로-2024-00182,
종료(반환),서울-구로-2024-00180,
종료(반환),서울-구로-2024-00177,410160010361021
종료(반환),서울-노원-2024-00159,410100008152745
종료(반환),서울-성북-2024-00209,
종료(반환),서울-관악-2024-00222,
종료(반환),서울-관악-2024-00221,410100011102485
종료(반환),서울-노원-2024-00158,
종료(반환),서울-도봉-2024-00129,
종료(반환),서울-강북-2024-00212,
종료(반환),서울-중랑-2024-00157,
종료(반환),서울-용산-2024-00232,410097800086929
종료(반환),서울-마포-2024-00262,
종료(반환),서울-중랑-2024-00156,410097800125871
종료(반환),서울-강동-2024-00186,
종료(반환),서울-영등포-2024-00091,
종료(반환),서울-종로-2024-00194,
종료(반환),서울-도봉-2024-00127,410100011201508
종료(반환),서울-용산-2024-00228,410160011867123
종료(반환),서울-강동-2024-00180,
종료(반환),서울-강동-2024-00179,410097800234685
종료(반환),서울-강남-2024-00065,410100012349980
종료(반환),서울-은평-2024-00283,
종료(반환),서울-성동-2024-00104,
종료(반환),서울-성동-2024-00103,410097800394959
종료(반환),서울-중구-2024-00057,410093300036524
종료(반환),서울-동작-2024-00160,410160010406983
종료(반환),서울-송파-2024-00167,410100008005350
종료(반환),서울-송파-2024-00165,410160010266080
종료(반환),서울-마포-2024-00255,410100012716548
종료(반환),서울-구로-2024-00173,
종료(반환),서울-양천-2024-00139,410097800020934
종료(반환),서울-영등포-2024-00088,410100011201706
종료(반환),서울-은평-2024-00281,410097800234163
종료(반환),서울-중구-2024-00056,
종료(반환),서울-강동-2024-00176,
종료(반환),서울-강북-2024-00210,
종료(반환),서울-서대문-2024-00105,410100012347520
종료(반환),서울-은평-2024-00279,410160010956895
종료(반환),서울-중랑-2024-00152,
종료(반환),서울-중랑-2024-00151,
종료(반환),서울-금천-2024-00145,410100008191634
종료(반환),서울-노원-2024-00152,
종료(반환),서울-성북-2024-00203,
종료(반환),서울-강남-2024-00063,410160011873348
종료(반환),서울-동대문-2024-00257,
종료(반환),서울-동작-2024-00156,
종료(반환),서울-동작-2024-00155,
종료(반환),서울-강서-2024-00184,
종료(반환),서울-강서-2024-00183,
종료(반환),서울-양천-2024-00137,
종료(반환),서울-양천-2024-00136,410097700010308
종료(반환),서울-노원-2024-00151,
종료(반환),서울-노원-2024-00150,
종료(반환),서울-동대문-2024-00254,
종료(반환),서울-용산-2024-00219,410160010961576
종료(반환),서울-중구-2024-00055,900111881002894
종료(반환),서울-관악-2024-00206,
종료(반환),서울-구로-2024-00170,
종료(반환),서울-성북-2024-00199,
종료(반환),서울-광진-2024-00096,
종료(반환),서울-영등포-2024-00085,
종료(반환),서울-은평-2024-00274,
종료(반환),서울-송파-2024-00162,410097800053894
종료(반환),서울-동작-2024-00152,410093300024644
종료(반환),서울-양천-2024-00133,410100012704627
종료(반환),서울-마포-2024-00243,
종료(반환),서울-강북-2024-00196,410093300018457
종료(반환),서울-종로-2024-00172,
종료(반환),서울-송파-2024-00161,410160010415273
종료(반환),서울-강남-2024-00062,
종료(반환),서울-관악-2024-00202,
종료(반환),서울-성북-2024-00198,
종료(반환),서울-성북-2024-00197,
종료(반환),서울-강서-2024-00178,
종료(반환),서울-마포-2024-00241,
종료(반환),서울-용산-2024-00212,410097800119181
종료(반환),서울-종로-2024-00171,
종료(반환),서울-관악-2024-00201,
