자치구별(1),자치구별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
자치구별(1),자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
자치구별(1),자치구별(2),소계,개,개,개,개,개,고양이,고양이,고양이,고양이,고양이,기타,기타,기타,기타,기타,소계,개,개,개,개,개,고양이,고양이,고양이,고양이,고양이,기타,기타,기타,기타,기타
자치구별(1),자치구별(2),소계,소계,인도(주인),입양 기증,폐사안락사,계류 방사,소계,인도(주인),입양 기증,폐사안락사,계류 방사,소계,인도(주인),입양 기증,폐사안락사,계류 방사,소계,소계,인도(주인),입양 기증,폐사안락사,계류 방사,소계,인도(주인),입양 기증,폐사안락사,계류 방사,소계,인도(주인),입양 기증,폐사안락사,계류 방사
합계,소계,5176,2428,1134,702,565,27,2307,84,729,1431,63,441,22,226,185,8,4679,2250,931,606,638,75,2082,73,645,1288,76,347,18,122,187,20
합계,종로구,161,67,29,9,29,-,86,2,13,69,2,8,1,3,4,-,208,84,17,18,49,-,117,3,25,89,-,7,-,4,3,-
합계,중구,100,33,21,7,5,-,51,1,14,35,1,16,1,5,10,-,70,36,16,7,12,1,14,1,4,8,1,20,-,7,13,-
합계,용산구,237,116,81,32,3,-,109,21,24,61,3,12,4,2,2,4,254,90,61,21,4,4,154,15,64,75,-,10,3,5,2,-
합계,성동구,175,53,22,23,8,-,107,-,49,58,-,15,-,7,8,-,119,36,19,10,7,-,74,-,15,59,-,9,-,-,9,-
합계,광진구,177,79,34,33,12,-,84,2,25,57,-,14,2,6,6,-,123,54,22,14,16,2,62,2,9,51,-,7,1,2,4,-
합계,동대문구,217,76,30,31,13,2,120,11,51,53,5,21,-,14,3,4,307,104,31,51,7,15,170,7,106,24,33,33,-,11,15,7
합계,중랑구,222,104,47,42,12,3,105,-,22,80,3,13,2,5,6,-,173,97,48,21,27,1,67,2,15,50,-,9,1,-,8,-
합계,성북구,193,88,49,17,21,1,84,2,13,69,-,21,1,14,6,-,226,139,59,21,59,-,73,1,8,63,1,14,-,5,9,-
합계,강북구,238,140,56,36,48,-,81,2,26,52,1,17,2,7,8,-,260,183,44,73,65,1,68,-,11,57,-,9,-,1,7,1
합계,도봉구,186,117,56,39,21,1,61,-,15,46,-,8,-,3,5,-,135,78,39,16,20,3,49,1,2,46,-,8,1,3,3,1
합계,노원구,188,129,49,31,48,1,53,2,9,42,-,6,-,3,3,-,184,104,41,20,43,-,72,1,12,59,-,8,-,3,5,-
합계,은평구,242,134,55,31,47,1,93,4,21,67,1,15,1,2,12,-,313,136,30,44,59,3,91,2,7,82,-,86,4,25,57,-
합계,서대문구,146,91,31,25,35,-,50,3,14,33,-,5,-,4,1,-,123,64,32,13,12,7,49,1,21,27,-,10,1,7,2,-
합계,마포구,337,85,35,38,6,6,238,5,139,72,22,14,1,12,1,-,285,86,34,33,8,11,195,5,102,78,10,4,-,3,1,-
합계,양천구,228,94,51,30,13,-,115,6,31,69,9,19,2,10,7,-,150,76,43,22,11,-,72,3,26,39,4,2,-,-,2,-
합계,강서구,241,129,56,32,41,-,93,3,14,76,-,19,2,6,11,-,234,120,42,37,40,1,100,3,9,88,-,14,-,3,5,6
합계,구로구,187,89,44,26,19,-,89,2,15,70,2,9,1,5,3,-,207,98,44,25,26,3,83,4,17,59,3,26,1,11,13,1
합계,금천구,160,76,28,22,26,-,77,4,16,57,-,7,-,3,4,-,165,89,29,19,41,-,69,2,12,55,-,7,-,1,5,1
합계,영등포구,148,76,41,18,17,-,65,1,17,45,2,7,-,2,5,-,99,57,37,11,8,1,35,2,4,29,-,7,-,-,5,2
합계,동작구,206,80,52,19,9,-,97,-,42,49,6,29,-,23,6,-,183,54,35,10,9,-,121,8,74,28,11,8,1,5,2,-
합계,관악구,299,180,79,35,64,2,81,1,29,46,5,38,-,16,22,-,261,188,74,36,69,9,57,4,15,35,3,16,1,14,1,-
합계,서초구,205,97,31,25,36,5,69,3,20,46,-,39,-,30,9,-,125,71,24,33,9,5,49,-,17,30,2,5,-,4,1,-
합계,강남구,164,86,51,26,9,-,55,4,19,32,-,23,1,14,8,-,73,36,21,9,6,-,26,1,4,21,-,11,2,5,4,-
합계,송파구,249,73,35,25,13,-,122,3,32,87,-,54,1,26,27,-,187,77,37,15,25,-,99,5,11,81,2,11,2,-,9,-
합계,강동구,270,136,71,50,10,5,122,2,59,60,1,12,-,4,8,-,215,93,52,27,6,8,116,-,55,55,6,6,-,3,2,1
