연번,자치구,계,내장형,외장형,인식표
1,종로구,11155,5083,4731,1341
2,중구,9414,4880,4056,478
3,용산구,20234,11324,7375,1535
4,성동구,20023,10296,7423,2304
5,광진구,23796,11989,10547,1260
6,동대문구,22360,10339,10919,1102
7,중랑구,28249,13415,11828,3006
8,성북구,28731,13392,13237,2102
9,강북구,22462,10930,8475,3057
10,도봉구,23784,9627,12340,1817
11,노원구,32245,13703,16422,2120
12,은평구,33704,16322,14071,3311
13,서대문구,21224,10640,9179,1405
14,마포구,25974,13756,10512,1706
15,양천구,28481,14746,11932,1803
16,강서구,40284,17587,19150,3547
17,구로구,23443,11684,9953,1806
18,금천구,15590,6941,7661,988
19,영등포구,22821,10110,10473,2238
20,동작구,21660,9904,9908,1848
21,관악구,31420,14173,12722,4525
22,서초구,28427,14478,11806,2143
23,강남구,43357,20744,19027,3586
24,송파구,40950,19764,18050,3136
25,강동구,30645,14676,14611,1358
